RecordID,STATE_CD,2005,2006,2007,2008,2009,2010,,,
29,NV," 2,408,804 "," 2,493,405 "," 2,567,752 "," 2,615,772 "," 2,643,085 ","2,704,642",,,
30,NH," 1,301,415 "," 1,311,894 "," 1,317,343 "," 1,321,872 "," 1,324,575 ","1,316,759",,,
31,NJ," 8,621,837 "," 8,623,721 "," 8,636,043 "," 8,663,398 "," 8,707,739 ","8,801,624",,,
32,NM," 1,916,538 "," 1,942,608 "," 1,968,731 "," 1,986,763 "," 2,009,671 ","2,065,932",,,
33,NY," 19,330,891 "," 19,356,564 "," 19,422,777 "," 19,467,789 "," 19,541,453 ","19,392,283",,,
34,NC," 8,669,452 "," 8,866,977 "," 9,064,074 "," 9,247,134 "," 9,380,884 ","9,561,558",,,
35,ND," 635,365 "," 636,771 "," 638,202 "," 641,421 "," 646,844 ","674,499",,,
36,OH," 11,475,262 "," 11,492,495 "," 11,520,815 "," 11,528,072 "," 11,542,645 ","11,536,182",,,
37,OK," 3,532,769 "," 3,574,334 "," 3,612,186 "," 3,644,025 "," 3,687,050 ","3,761,702",,,
38,OR," 3,617,869 "," 3,677,545 "," 3,732,957 "," 3,782,991 "," 3,825,657 ","3,838,957",,,
39,PA," 12,418,161 "," 12,471,142 "," 12,522,531 "," 12,566,368 "," 12,604,767 ","12,709,630",,,
40,RI," 1,064,989 "," 1,060,196 "," 1,055,009 "," 1,053,502 "," 1,053,209 ","1,052,886",,,
41,SC," 4,256,199 "," 4,339,399 "," 4,424,232 "," 4,503,280 "," 4,561,242 ","4,636,312",,,
42,SD," 780,084 "," 788,519 "," 797,035 "," 804,532 "," 812,383 ","816,463",,,
43,TN," 5,995,748 "," 6,089,453 "," 6,172,862 "," 6,240,456 "," 6,296,254 ","6,356,897",,,
44,TX," 22,801,920 "," 23,369,024 "," 23,837,701 "," 24,304,290 "," 24,782,302 ","25,257,114",,,
45,UT," 2,499,637 "," 2,583,724 "," 2,663,796 "," 2,727,343 "," 2,784,572 ","2,776,469",,,
46,VT," 618,814 "," 619,985 "," 620,460 "," 621,049 "," 621,760 ","625,960",,,
47,VA," 7,563,887 "," 7,646,996 "," 7,719,749 "," 7,795,424 "," 7,882,590 ","8,024,617",,,
48,WA," 6,261,282 "," 6,372,243 "," 6,464,979 "," 6,566,073 "," 6,664,195 ","6,744,496",,,
49,WV," 1,803,920 "," 1,807,237 "," 1,811,198 "," 1,814,873 "," 1,819,777 ","1,853,973",,,
50,WI," 5,541,443 "," 5,571,680 "," 5,601,571 "," 5,627,610 "," 5,654,774 ","5,691,047",,,
